customer_id,age,region,subscription_type,device_type,contract_type,payment_method,satisfaction_score,tenure_months,monthly_spend,sessions_per_week,avg_session_minutes,weekly_minutes,usage_score_proxy,support_tickets_90d,payment_delays_6m,last_login_days_ago,estimated_income,usage_variability,engagement_score,spend_per_session,promo_opt_in,auto_renew,churn
437,32,Central,Basic,Mobile,Monthly,Bank Transfer,3,32,41.54,6.31,23.74,155.55,105.66,0,0,10.66,70024.69,22.2,68.59,6.59,No,0,0
197,46,West,Premium,Desktop,Monthly,Card,3,13,68.54,6.13,23.43,142.79,83.86,0,0,6.93,64716.81,11.46,74.99,11.18,No,0,1
1763,30,West,Standard,Desktop,Annual,Digital Wallet,3,17,58.94,5.19,23.1,111.8,108.49,2,1,2.71,18000,6.36,68.21,11.36,Yes,1,0
1065,30,North,Standard,Mobile,Annual,Bank Transfer,4,24,58.89,5.61,18.92,114.43,123.77,4,1,6.24,99144.65,20.38,59.3,10.51,No,1,0
2343,18,North,Basic,Mobile,Quarterly,Card,5,47,35.04,7.19,22.26,163.85,146.17,4,0,2.83,40965.7,4.22,80.75,4.87,Yes,0,0
2529,51,East,Basic,Mobile,Quarterly,Card,3,25,30.29,5.54,20.79,104.42,60.04,1,1,3.5,71266.73,11.91,53.4,5.46,No,1,0
1269,46,Central,Premium,Desktop,Monthly,Card,4,11,83.52,7.27,20.37,137.79,138.4,0,0,4.28,73252.19,12.62,79.67,11.48,Yes,0,1
2324,38,East,Basic,Desktop,Quarterly,Bank Transfer,5,72,42.04,4.89,26.73,137.7,92.45,0,1,1.03,,15.81,71.11,8.6,Yes,1,0
2780,26,Central,Basic,Mobile,Quarterly,Card,3,33,25.93,3.95,23.13,91.95,68.71,1,1,60,60419.16,3.68,5,6.56,No,0,1
2226,41,Central,Standard,Desktop,Monthly,Card,3,9,67.89,4.75,23.9,108.41,104.86,1,1,3.15,76499.43,21.8,53.41,14.3,No,1,0
451,36,Central,Standard,Desktop,Monthly,Bank Transfer,1,9,59.42,3.66,23.52,92.32,54.01,1,1,2.92,57991.25,6.9,78.26,16.21,No,1,0
2165,45,West,Basic,Desktop,Monthly,Card,4,2,35.45,7.32,,232.59,169.24,0,0,14.56,76293.32,3.98,65.94,4.84,Yes,1,1
2373,37,West,Basic,Mobile,Monthly,Bank Transfer,3,20,18.7,4.53,27.56,117.39,78.24,5,2,5.23,37100.73,6.35,46.32,4.13,No,0,1
2013,46,North,Standard,Desktop,Monthly,Digital Wallet,2,28,71.3,5.94,17.33,99.08,91.4,3,0,14.77,60931.76,10.61,42.77,12.01,No,0,0
271,29,Central,Premium,Mobile,Annual,Digital Wallet,4,4,90.87,6.7,30.16,205.18,182.06,4,0,4.72,86197.31,4.36,80.61,13.56,No,1,0
1841,31,East,Basic,Desktop,Monthly,Card,3,23,33.99,4.79,30.42,160.38,104.12,0,1,2.11,45246.81,8.53,55.49,7.09,No,1,0
2935,29,East,Standard,Mobile,Monthly,Bank Transfer,2,13,59.34,6.07,25.11,143.19,111.95,3,1,7.28,52843.98,11.42,84.63,9.77,No,1,0
979,21,West,Basic,Desktop,Monthly,Bank Transfer,3,26,29.16,7.48,20.96,168.68,115.68,0,1,2.84,60580.65,11.31,80.51,3.9,No,0,0
2167,72,North,Standard,Desktop,Quarterly,Card,5,17,46.25,6.77,23.69,150.68,135.27,1,0,3.86,59128.8,12.21,75.26,6.83,No,0,0
355,51,East,Basic,Desktop,Monthly,Card,1,2,21.54,6.68,28.99,188.66,126.45,0,0,8.23,43637.67,12.91,57.03,3.23,Yes,1,0
1877,47,Central,Basic,Desktop,Monthly,Card,1,4,28.74,4.5,21.37,94.86,53.4,3,1,20.85,66991.98,11.47,,6.39,No,1,1
185,43,Central,Premium,Mobile,Annual,Card,3,59,92.71,6.86,27.42,182.51,162.35,3,1,8.27,66830.79,2.34,77.12,13.51,Yes,1,0
2745,50,Central,Basic,Desktop,Monthly,Bank Transfer,5,25,42.55,2.97,,76.64,72.18,0,0,1.25,52523.25,13.12,61.24,14.33,No,0,1
1615,30,South,Premium,Mobile,Monthly,Bank Transfer,1,24,94.38,4.28,28.49,128.62,139.92,2,1,5.27,79229.51,6.05,65.96,22.06,No,1,1
2760,48,West,Basic,Mobile,Monthly,Bank Transfer,3,14,43.1,3.55,11.69,36.67,45.84,0,1,2.99,84083.12,6.28,66.89,12.14,No,1,1
1707,33,North,Premium,Mobile,Annual,Card,3,25,77.82,4.36,13.61,47.85,57.56,0,0,20.45,64455.03,12.1,30.94,17.84,Yes,1,0
1862,25,Central,Basic,Desktop,Quarterly,Card,1,20,41.89,7.17,22.24,146.67,131.01,2,2,4.7,56735.79,8.82,57.15,5.84,No,0,1
247,25,North,Standard,Mobile,Monthly,Card,5,15,68.35,5.27,,83.75,74.63,2,0,6.3,89967.71,7.3,66.78,12.97,No,1,1
556,34,Central,Standard,Mobile,Monthly,Card,3,28,72.22,5.43,24.92,127.86,98.53,1,1,5.99,49453.77,3.18,57.39,13.31,Yes,0,0
1753,30,West,Basic,Mobile,Annual,Digital Wallet,4,9,34.1,2.18,18.33,39.1,35.64,0,0,6.27,42013.11,11.04,49.77,15.66,No,1,1
1365,33,East,Standard,Tablet,Monthly,Bank Transfer,4,21,76.04,4.36,28.54,119.16,102.15,3,2,26.6,46956.48,4.6,26.79,17.42,Yes,1,0
68,32,West,Basic,Mobile,Annual,Bank Transfer,3,12,24.3,0.24,20.63,13.14,3,1,0,4.13,56977.51,21.22,62.91,80.99,Yes,1,1
2619,29,Central,Premium,Desktop,Annual,Card,3,16,85.54,7.55,33.37,246.6,196.89,1,1,7.57,70449.04,6.19,63.91,11.33,Yes,1,0
